"CDR017-DIL"	"CDR025"	"CDR021"	"CDR029-DIL"	"CDR022"	"CDR018"	"CDR026-DIL"	"CDR030-DIL"	"CDR031-DIL"	"CDR023"	"CDR027-DIL"	"CDR019"	"CDR020"	"CDR028-DIL"	"CDR032-DIL"	"CDR024"
"1"	1211.1934125	1196.7565125	1253.353175	1087.3577625	1280.20860625	1276.3604625	1165.66404375	1189.19743125	989.99340625	1143.533925	1109.2826875	1268.22345625	1139.4738625	1196.7565125	966.29824375	1169.128475
"2"	102.57180125	107.534103125	114.7723	106.45861	157.019575	107.299554375	107.6919	122.547189375	121.513838125	115.5403225	114.2077325	135.379475	143.47865	116.78747125	111.536725625	120.730414375
"3"	1253.353175	1449.071125	1057.79435625	1244.6671375	883.9043375	1343.3800125	1340.3986625	1380.373125	1407.3935625	1225.3508625	1669.01275	1483.410625	1490.3551875	1717.7609375	1329.8376	1276.3604625
"4"	157.019575	169.05581875	180.9713125	175.48856875	166.20309375	191.6184875	189.06831875	181.25755625	190.84686875	182.019225	183.61756875	186.0477375	167.0535875	133.264025	165.75914375	170.01290625
"5"	773.078175	786.990775	691.92100625	532.49026875	669.33246875	759.85591875	742.3741375	613.917075	588.60095	671.5211625	816.53505625	706.36008125	699.61185	901.48970625	589.61836875	540.32660625
"6"	867.70998125	840.44325	845.829875	707.248775	993.8551625	891.29434375	900.36805625	747.5253	743.5878375	906.444875	720.70190625	739.61283125	916.26145	843.98115625	720.70190625	765.8296875
"7"	420.1724625	476.48205625	397.66949375	263.782	485.7613375	412.6151875	427.61775	349.839525	359.82230625	435.399175	387.36044375	428.07701875	410.85720625	327.2890625	345.71604375	404.27354375
"8"	306.58115625	295.8040375	302.3472375	309.54938125	351.7126125	310.541325	335.7130375	319.6187375	319.100125	255.4140375	257.00801875	316.782975	268.583975	253.69126875	260.25153125	292.40730625
"9"	577.5198875	710.9823625	495.7744875	599.76196875	724.7033	638.68381875	584.02975	583.11810625	575.0209625	608.0283875	627.5864	587.4314875	595.38131875	578.610775	625.6937875	553.04888125
"10"	358.55023125	353.11504375	346.27081875	342.47463125	241.610975	385.60971875	316.782975	345.71604375	347.112475	306.58115625	392.01801875	385.04623125	390.3408625	380.94108125	287.4121125	294.51029375
"11"	560.561575	518.85629375	592.97999375	520.3114625	535.65039375	473.2614875	484.68809375	465.28708125	483.61586875	540.32660625	456.68218125	586.70465625	419.34513125	463.51940625	515.57546875	526.267475
"12"	126.313925	101.80132875	125.7112125	186.87914375	111.489636875	112.17378	146.06419375	132.64590625	150.3879625	124.069125	143.15913125	111.959488125	129.91918125	184.11165625	155.58031875	122.23015625
"13"	28672.269375	30215.688125	30913.190625	23051.648125	29440.6975	30215.688125	27542.3475	23555.78875	22635.995625	30913.190625	25120.476875	30913.190625	28672.269375	23051.648125	22635.995625	28672.269375
"14"	316.36380625	328.4634125	316.782975	320.8582625	316.36380625	304.3600375	322.18970625	316.782975	337.19183125	296.41846875	300.39123125	393.43023125	314.5743	327.53966875	301.32981875	314.5743
"15"	9968.94425	9616.217875	9521.9575	9772.523875	8753.9308125	9679.44475	10892.6958125	9272.9805	9272.9805	9616.217875	11491.2849375	10548.756	10892.6958125	10643.85275	10221.1218125	9117.4658125
"16"	1032.78103125	1046.970125	998.67553125	1021.95065	1118.380925	1030.9798375	957.93729375	989.99340625	910.28175625	1076.2955875	1087.3577625	960.39493125	1090.33608125	944.24585	930.44455	1096.24956875
"17"	551.052275	475.6670125	477.0774	472.3322	490.0080375	490.0080375	528.8764125	497.9789375	500.8118	577.5198875	529.9264625	496.46691875	490.0080375	511.18054375	502.93720625	570.14828125
"18"	5887.791375	6729.710125	5708.0065625	5003.063125	5459.3765	5887.791375	6693.7671875	4970.6896875	4910.58225	5201.9641875	5571.1320625	6500.621875	6445.3744375	5419.614125	4714.216125	5288.407375
"19"	335.132575	320.8582625	325.57151875	300.76705	315.96966875	327.53966875	300.39123125	287.4121125	326.0443375	382.50433125	332.523975	303.50740625	327.2890625	250.27979375	323.83305	305.3181125
"20"	3118.194375	2757.9555625	3693.578125	2981.3320625	3451.492625	3175.5914375	2744.1764375	3224.9923125	2724.0571875	3175.5914375	2421.9608125	3025.2868125	2750.467625	2750.467625	2992.2769375	2699.411375
"21"	126.60464375	115.9458925	132.73478125	114.449083125	117.015170625	106.36517375	117.147180625	93.811521875	114.449083125	141.46735625	101.11595625	135.6384875	109.466428125	109.25005125	108.98503	113.197231875
"22"	231.1941375	278.33121875	197.49714375	176.7636875	193.24400625	218.28376875	297.9725375	221.48005625	192.6998625	235.51765	228.6005875	207.4769625	259.14954375	216.1612375	226.66503125	249.54720625
"23"	309.54938125	287.8734	313.62704375	296.85024375	388.5700875	323.83305	302.3472375	253.69126875	320.8582625	321.59056875	326.92825	315.96966875	294.942425	301.870625	327.53966875	333.87555
"24"	7796.38125	7252.7276875	7342.6719375	8394.5560625	7635.473125	7850.213875	7342.6719375	8533.9548125	8206.7991875	7387.580625	7914.2190625	7451.4620625	7342.6719375	8057.430875	8533.9548125	7635.473125
"25"	570.94854375	467.27028125	630.5741	634.401425	586.70465625	572.0231875	518.85629375	560.561575	542.92555625	630.5741	563.311475	613.917075	538.1796125	493.602175	570.14828125	643.465
"26"	112.89530375	119.341759375	127.7165	124.97420625	116.9070275	126.49574375	97.1901375	117.95399375	120.08147875	98.16288375	121.033623125	132.45063125	125.36544375	126.60464375	99.93320375	116.154026875
"27"	732.0033375	733.3917375	687.66148125	691.92100625	764.52531875	691.92100625	635.31555625	634.401425	603.531425	691.92100625	702.56216875	838.167525	733.3917375	660.8075625	653.4345875	702.56216875
"28"	280.56413125	306.58115625	319.100125	275.7287	329.9226	266.9133375	286.18516875	292.8246125	272.8253375	343.28258125	283.09960625	317.0709625	299.21458125	270.20674375	282.07886875	304.3600375
"29"	209.93759375	239.40515625	203.7094	185.32869375	204.37210625	151.47923125	204.06729375	192.940625	184.28175	181.64780625	220.8021	195.12575	211.96713125	212.4717125	203.455025	203.7094
"30"	443.334175	524.47488125	430.6895	480.2715625	503.82580625	483.61586875	549.76254375	492.1765875	453.6785	452.7586	535.65039375	463.51940625	568.4896	497.9789375	561.43248125	527.918575
"31"	663.281775	732.0033375	679.10428125	526.267475	768.830775	665.20205625	816.53505625	523.1370125	501.93866875	742.3741375	547.04208125	669.33246875	736.48996875	576.50710625	556.93059375	798.97904375
"32"	185.1396875	165.3360875	170.614025	135.130675	156.66743125	181.8269875	175.090025	140.06875625	111.59460375	164.648775	133.50934375	142.423375	144.36288125	157.15743125	140.9374125	157.68523125
"33"	141.64415625	132.64590625	136.0854875	140.17050625	156.25845	144.24366875	140.73073125	123.679775	133.62806875	148.253725	141.28591875	140.84610625	134.6517375	104.17995375	154.48109375	157.802425
"34"	108.12726875	138.0508	135.130675	114.072963125	116.001911875	111.233408125	126.2154125	121.786355	134.84715625	106.64306625	115.049245625	117.407770625	109.70220375	121.341354375	137.582175	123.40019375
"35"	14617.763125	11694.4764375	11694.4764375	12901.0809375	11694.4764375	13882.4308125	13479.4806875	14338.325625	12298.1259375	11491.2849375	14338.325625	15413.743125	13479.4806875	16365.708125	13882.4308125	11381.9018125
"36"	5227.462125	5288.407375	5851.7653125	5482.715125	6320.9095625	5674.7713125	4692.9215	5459.3765	5635.606125	6117.9935625	5311.0550625	5227.462125	5851.7653125	5482.715125	5459.3765	5540.157875
"37"	538.1796125	553.04888125	540.32660625	589.61836875	725.76183125	577.5198875	519.65955625	582.436025	506.51819375	583.11810625	423.5611625	438.839125	523.1370125	432.213725	511.18054375	591.614025
"38"	10221.1218125	10054.5608125	9968.94425	11000.0025	11183.9325	9772.523875	10054.5608125	10548.756	10410.416125	10477.244375	9772.523875	8349.4594375	9187.1096875	9023.93775	10114.8800625	9772.523875
"39"	3713.403375	3664.9150625	3953.5145625	3417.0201875	3610.168	3651.112625	3395.7035	3451.492625	3451.492625	4018.713625	3187.575125	3713.403375	3335.141625	3187.575125	3288.750125	3890.4998125
"40"	131.8437625	160.4719	136.94795625	154.33554375	144.9579625	160.60645	168.0289875	153.45106875	161.02499375	162.78253125	169.446225	159.59168125	156.3697375	176.55216875	153.12476875	135.29889375
"41"	1096.24956875	1065.6564375	1061.0682125	814.70665	1196.7565125	1088.75620625	1129.35010625	794.474525	835.001975	1113.19261875	993.8551625	1065.6564375	1177.35339375	987.0676875	901.48970625	1133.10593125
"42"	914.0445625	636.575075	716.8693	640.8080375	981.854925	818.30329375	690.639925	654.996225	836.6505125	818.30329375	800.29621875	906.444875	849.0589375	914.0445625	619.14924375	838.167525
"43"	57197.78375	60570.75	55942.649375	55942.649375	57197.78375	54397.6375	55942.649375	57197.78375	51519.205625	55942.649375	57197.78375	47120.76625	55942.649375	57197.78375	55942.649375	57197.78375
"44"	55942.649375	54397.6375	54397.6375	54397.6375	53174.1425	53174.1425	57197.78375	54397.6375	57197.78375	47120.76625	53174.1425	51519.205625	51519.205625	49754.829375	49754.829375	53174.1425
